"name","email","phone","website","address","city","country","postcode","category"
"Terry's Pharmacy","terrys.pharmacy@nhs.net","+44 20 8997 2954","https://www.nhs.uk/services/pharmacy/terry-s-pharmacy/FW270","4 Castle Hill Parade","London","UK","","pharmacy"
"Charles Tyrwhitt","ukshop.bluewater@ctshirts.co.uk","+44 1322 389535","https://www.charlestyrwhitt.com/uk/","Guildhall","Greenhithe","UK","DA9 9ST","clothes"
"The Bakers","orders@thebakersofealing.com","+44 20 8566 0505","https://www.thebakersofealing.com/","27 New Broadway","London","UK","W5 5AW","bakery"
"American Golf","northolt@americangolf.co.uk","+44 20 8150 1413","https://www.americangolf.co.uk/stores?store=S143","","London","UK","","sports"
"Margolis Office Furniture","info@margolisfurniture.co.uk","","https://www.margolisfurniture.co.uk","341 Euston Road","London","UK","NW1 3AD","furniture"
"Ryman Design","bishopgate@rymanservices.co.uk","","","","London","UK","","stationery"
"R Woodfall","info@woodfallsnorwood.co.uk","+44 20 8670 4100","https://rwoodfall.co.uk/location/west-norwood/","286 Norwood Road","London","UK","SE27 9AF","optician"
"Sally Beauty","newoxfordst.store@sallybeauty.com","+44 20 3875 8214","https://www.sallybeauty.co.uk/storeinfo?StoreID=4365","78 New Oxford Street","London","UK","WC1A 1HB","hairdresser_supply"
"McCann Bespoke","info@mccannbespoke.com","+44 20 3904 6506","https://mccannbespoke.co.uk/","34-26 Lime Street","London","UK","EC3M 7AT","clothes"
"Slam City Skates","outletstore@slamcity.com","+44 20 8804 0782","https://www.slamcity.com","","London","UK","","sports"
"American Golf","monument@americangolf.co.uk","+44 20 3371 3349","https://www.americangolf.co.uk/stores?store=S158","Fish Street Hill","London","UK","EC3R 6AJ","sports"
"Blu-Gates","info@blu-gates.co.uk","+44 1895 349642","https://www.blu-gates.co.uk/","13 High Street","West Drayton","UK","UB7 7QG","computer"
"Greenka","info@greenka.uk","+44 7375 596624","","8 Oak Road","London","UK","W5 3SS","florist"
"Perfume Warehouse","info@perfumewarehouse.co.uk","","https://perfumewarehouse.co.uk/","4a Oak Road","London","UK","W5 3SS","perfumery"
"Nu-Wave Medi Spa","info@nuwavelaserclinic.com","+44 20 8840 2357","https://nuwavelaserclinic.com/","2a-3a Oak Road","London","UK","W5 3SS","beauty"
"Magnet","twickenham.branch@magnet.co.uk","+44 20 8894 5952","https://www.magnet.co.uk/find-a-showroom/london/twickenham/","59 Staines Road","Twickenham","UK","TW2 5BH","kitchen"
"Joseph Cheaney & Sons","limestreet@cheaney.co.uk","+44 207 283 7485","","9A Lime Street","London","UK","EC3M 7AA","clothes"
"JAHAN Geneve","shop.london@jahan.ch","+44 20 3887 7753","https://jahan.ch/","6C Sloane Street","London","UK","","jewelry"
"Roger Vivier","rvlondon@rogervivier.com","+44 20 7245 8270","https://www.rogervivier.com/ww-en/home/","188 Sloane Street","London","UK","","shoes"
"Back2 International","sales@back2.co.uk","+44 20 7395 0351","https://back2.co.uk","28 Wigmore Street","London","UK","W1U 2RN","furniture"
"Margaret Dabbs","reception@margaretdabbs.co.uk","+44 20 7487 5510","https://www.margaretdabbs.co.uk/","7 New Cavendish Street","London","UK","","beauty"
"Doggie & Gabana","samantha@doggieandgabana.co.uk","","https://doggieandgabana.co.uk","10 Staines Road","Twickenham","UK","TW2 5AH","pet_grooming"
"Rawlings Opticians","purley@rawlingsopticians.co.uk","","https://rawlingsopticians.co.uk/","946 Brighton Road","Purley","UK","CR8 2LP","optician"
"Benchmarx","weybridgebranch@benchmarxjoinery.co.uk","+44 1932 844528","https://www.benchmarxkitchens.co.uk/branches/weybridge","Hamm Moor Lane","Addlestone","UK","KT15 2SN","kitchen"
"The Winery","info@thewineryuk.com","+44 20 7286 6475","https://www.thewineryuk.com/","4 Clifton Road","London","UK","W9 1SS","wine"
"Commonfield","sales@commonfield.com","+44 158 269 7750","https://commonfield.com/","10-11 Northways Parade","London","UK","","kitchen"
"Tesco Express","uk4909@tesco.com","+44 345 610 6785","https://www.tesco.com/store-locator/swiss-cottage/17-21-northways-parade","17-21 Northways","London","UK","NW3 5EN","convenience"
"LKY 7","info@lky7.co.uk","+44 1784 258111","https://lky7sports.com/","357 Staines Road West","Ashford","UK","TW15 1RP","bicycle"
"Twice The Siren","sirensilver@btconnect.com","+44 20 7261 0025","https://www.twicethesiren.co.uk/","28 Lower Marsh","London","UK","SE1 7RG","jewelry"
"Berg's Pharmacy","bergpharmacy@nhs.net","+44 20 7476 5414","","Rathbone Market","London","UK","E16 1EH","pharmacy"
"Silverclip","contact@silverclip.co.uk","+44 20 7790 3311","https://www.silverclip.co.uk/","51 Narrow Street","London","UK","E14 8DN","hairdresser"
"Balfe's Bikes","islington@balfesbikes.co.uk","","https://www.balfesbikes.co.uk/islington/","33 Essex Road","London","UK","N1 2SA","bicycle"
"Regency Beauty","info@regencybeautylondon.com","+44 20 3583 7130","http://www.regencybeautylondon.com/","8-10 Liberty Bridge Road","London","UK","E20 1AS","beauty"
"Taylor Taylor","commercial@taylortaylorlondon.com","+44 20 7377 2737","https://taylortaylorlondon.com/","137 Commercial Street","London","UK","E1 6BJ","hairdresser"
"Giorgio","giorgiojewellers@aol.com","+44 20 8832 3313","","2 The Broadway","London","UK","N14 6PH","jewelry"
"The London Bicycle Workshop","info@londonbicycleworkshop.com","+44 20 7998 8738","https://www.londonbicycleworkshop.com/","97-99 Clerkenwell Road","London","UK","EC1R 5BX","bicycle"
"Nudo Studio","info@nudostudio.com","","https://www.thenudostudio.com/","Amhurst Terrace","London","UK","","hairdresser"
"The Peanut Vendor","info@thepeanutvendor.co.uk","+44 20 8981 8613","https://www.thepeanutvendor.co.uk/","6 Gunmakers Lane","London","UK","E3 5GG","furniture"
"John Harding","fiona.harding1@ntlworld.com","+44 20 7481 4730;+44 20 7481 9754","https://johnhardinghairdresserslondon.co.uk/","East Smithfield","London","UK","E1W 1AT","hairdresser"
"Welsh & Jefferies","info@welshandjefferies.com","+44 20 7734 3062","http://welshandjefferies.wix.com/welsh-and-jefferies","20a Savile Row","London","UK","","tailor"
"Cad & The Dandy","savilerow@cadandthedandy.co.uk","+44 20 7434 4344","https://www.cadandthedandy.co.uk/","First floor, 13 Savile Row","London","UK","W1S 3NE","tailor"
"Davies & Son","info@daviesandson.com","+44 20 7434 3016","https://www.daviesandson.com/","38 Savile Row","London","UK","W1S 3QE","tailor"
"Gary Anderson","info@garyanderson.com","+44 20 7287 6661","https://garyanderson.com/","34-35 Savile Row","London","UK","W1S 3QA","tailor"
"Henry Poole & Co","office@henrypoole.com","+44 20 7734 5985","https://henrypoole.com/","15 Savile Row","London","UK","W1S 3PJ","tailor"
"Jeff Banks","info@jeffbankssavilerow.com","+44 20 7734 3973","https://www.jeffbankssavilerow.com/","36 Savile Row","London","UK","W1S 3QB","tailor"
"Kathryn Sargent","enquiries@kathrynsargent.com","+44 20 7493 2450","https://www.kathrynsargent.com/","37 Savile Row","London","UK","W1S 3QD","tailor"
"Lanvin Boutique","londonsavilerow@lanvin.com","+44 20 7434 3384","https://www.lanvin.com/","30-32 Savile Row","London","UK","W1S 3PT","shoes"
"Maurice Sedwell","info@savilerowtailor.com","+44 20 7734 0824","http://www.savilerowtailor.com/","19 Savile Row","London","UK","W1S 3PP","tailor"
"Norton & Sons","enquiries@nortonandsons.co.uk","+44 20 7437 0829","https://www.nortonandsons.co.uk/","16 Savile Row","London","UK","W1S 3PL","tailor"
"Ozwald Boateng","info@ozwaldboateng.co.uk","+44 20 7437 2030","https://ozwaldboateng.co.uk/","30 Savile Row","London","UK","W1S 3PT","tailor"
"Image","info@image-tailors.co.uk","","","29 Fonthill Road","London","UK","N4 3HZ","tailor"
"Nouvelle hair and beauty","hello@nouvellese20.co.uk","+44 20 3689 4145","https://www.nouvellese20.co.uk/","109 High Street","London","UK","SE20 7DT","hairdresser"
"the wine parlour","hello@thewineparlour.com","+44 20 3302 1617","http://www.thewineparlour.com","1 & 3 Vining Street","London","UK","SW9 8QA","wine"
"Richmond Cycle Centre","info@richmondcyclecentre.co.uk","+44 20 8332 0123","https://richmondcyclecentre.co.uk/","","London","UK","","bicycle"
"Cakeology","info@cakeology.net","+44 20 8127 5166","","582 Kingston Road","London","UK","SW20 8DN","confectionery"
"Kitchen Revolutions","info@kitchenrevolutions.co.uk","+44 20 3302 6266","https://kitchenrevolutions.co.uk/","580 Kingston Road","London","UK","SW20 8DR","kitchen"
"The Good Life","hello@thegoodlife.bike","+44 20 8948 6752","https://www.thegoodlife.bike","14 Sheen Road","Richmond","UK","TW9 1AS","bicycle"
"Signorelli","ciao@signorelli.co.uk","+44 20 8534 4972","http://www.signorelli.co.uk/","7 Victory Parade","London","UK","E20 1FS","bakery"
"GAIL's","bankside@gailsbread.co.uk","+44 20 7620 3064","https://gails.com/pages/neo-bankside","70 Holland Street","London","UK","SE1 9NX","bakery"
"Shop Dog N8","amelia@shopdogn8.co.uk","","http://www.shopdogn8.co.uk/","Park Road","London","UK","N8 8JR","pet"
"CasaLube","paolo@casalube.com","+44 1923 260 473","","Unit 14 Primrose Hill","Kings Langley","UK","WD4 8ST","kitchen"
"My Fair Lady","bookings@myfairladyegham.co.uk","+44 1784 278536","","5 The Precinct, High Street","Egham","UK","TW20 9HN","beauty"
"Town Bikes Cafe","info@townbikes.co.uk","+44 20 3490 2684","https://townbikes.co.uk/","153 South Ealing Road","London","UK","","bicycle"
"Glutopia Cake Boutique","hello@glutopiabakery.com","+44 20 3715 0868","https://www.glutopiabakery.com/","Market Place","Kingston upon Thames","UK","KT1 1JT","bakery"
"Amal Pharmacy","info@amalpharmacy.com","+44 20 8293 9733","https://www.amalpharmacy.com/","166 West Parkside","London","UK","SE10 0EL","pharmacy"
"Rush&Ry London","info@rushandrylondon.com","+44 20 8858 9968","https://www.rushandrylondon.com/","West Parkside","London","UK","SE10 0EL","hairdresser"
"Frankenbike","shop@frankenbike.cc","+44 20 3417 0252","https://frankenbike.cc/","16 Felstead Street","London","UK","E9 5LT","bicycle"
"Ellis Brigham","kensington@ellis-brigham.com","+44 20 7937 6889","https://www.ellis-brigham.com/","178 Kensington High Street","London","UK","W8 7RG","outdoor"
"Children of the Mekong Charity Shop","info@childrenofthemekong.org","+44 20 3674 1953","https://www.childrenofthemekong.org/","22 Lavender Hill","London","UK","SW11 5RN","clothes"
"Pearl Chemist","cobham@pearlchemistgroup.co.uk","+44 1932 862113","https://www.pearlchemistgroup.co.uk/pearl-chemist-cobham","16 High Street","Cobham","UK","KT11 3DY","chemist"
"Harbour Cycles","brenton@harbourcycles.co.uk","+44 20 7274 5008","https://www.harbourcycles.co.uk/","200 Coldharbour Lane","London","UK","SE5 9QH","bicycle"
"Orée","kensington@oreebakeries.co.uk","+442045801464","https://www.oree.co.uk","147 Kensington High Street","London","UK","W8 6SU","bakery"
"Librería","hello@libreria.io","","https://libreria.io/","65 Hanbury Street","London","UK","E1 5JP","books"
"XO Bikes","hello@xobikes.com","+44 330 133 1080","https://xobikes.com/","6 Garratt Lane","London","UK","SW18 4FT","bicycle"
"Dulwich Vintners","info@dulwichvintners.co.uk","+44 20 8299 1051","https://www.dulwichvintners.co.uk/","85-87 Dulwich Village","London","UK","SE21 7BJ","wine"
"Joseph Cheaney and Sons","jermyn@cheaney.co.uk","+44 207 287 2996","","21B Jermyn Street","London","UK","SW1Y 6HP","shoes"
"Rococo Chocolates","3moxonstreet@rococochocolates.com","+44 20 7935 7780","https://www.rococochocolates.com/","3 Moxon Street","London","UK","W1U 4EW","chocolate"
"Sarah Zaaraz","info@sarahzaaraz.com","+44 20 8767 7000","https://www.sarahzaaraz.com/","108 Upper Tooting Road","London","UK","SW17 7EN","clothes"
"Bookmongers","books@bookmongers.com","+44 20 7738 4225","http://bookmongers.com","439 Coldharbour Lane","London","UK","SW9 8LN","books"
"Bubbles Hair Studio","info@bubbleshairstudio.co.uk","+44 20 8947 3013","http://www.bubbleshairstudio.co.uk/","434 Garratt Lane","London","UK","SW18 4HN","hairdresser"
"Worlds End Bookshop","info@worldsendbookshop.com","+44 20 7352 9376","https://www.worldsendbookshop.com/","357 King's Road","London","UK","","books"
"St Paul's Cathedral Shop","shop@stpaulscathedral.org.uk","+44 20 7246 8363","https://stpaulsshop.co.uk/","","London","UK","","gift"
"Tula Rose","info@tularose.com","+44 20 7733 1400","https://www.tularose.com/","6A Coldharbour Lane","London","UK","SE5 9PR","beauty"
"Bon Velo","norwood@bonvelo.co.uk","+44 20 8766 9001","https://bonvelo.co.uk/","495 Norwood Road","London","UK","SE27 9DJ","bicycle"
"Thai Silk","info@thaisilkmassage.com","+44 20 8761 6045","","477 Norwood Road","London","UK","SE27 9DJ","beauty"
"Wear Abouts","admin@wearaboutsonline.com","+44 20 8244 7887","https://wearaboutsonline.com/","358 Norwood Road","London","UK","SE27 9AA","clothes"
"Floral Hall","hello@floralhall.co.uk","+44 20 8670 3200","https://www.floralhall.co.uk/","370 Norwood Road","London","UK","SE27 9AA","florist"
"Barron","info@barronsalon.com","+44 20 8883 9992","https://www.barronsalon.com","","London","UK","","hairdresser"
"Cullimore Pharmacy","info@cullimorechemist.co.uk","+44 20 8958 8957","","54 Glengall Road","London","UK","","pharmacy"
"Luxury Beauty and Spa","office@luxurybeautyandspa.co.uk","+44 20 7846 0203","https://luxurybeautyandspa.co.uk/","40 Junction Road","London","UK","N19 5RD","beauty"
"Flawless Touch Nails & Beauty","info@flawlesstouch.co","+44 20 7247 0888","https://www.flawlesstouch.co/","1 Quaker Street","London","UK","E1 6SZ","beauty"
"BJHardware","sales@bjhardware.com","+44 20 8767 2887","","2 Hereward Road","London","UK","SW17 7EY","hardware"
"Primrose Bakery","kensington@primrose-bakery.co.uk","+44 20 7602 8090","https://www.primrose-bakery.co.uk/","282a Kensington High Street","London","UK","W14 8NZ","bakery"
"Nothing Store","sohostore@nothing.tech","","https://nothing.tech/pages/nothing-store-soho-london","4 Peter Street","London","UK","W1F 0AD","electronics"
"Meat Jon","order@meatjon.com","+44 20 3641 8384","https://www.meatjon.com/","107 Ladywell Road","London","UK","SE13 7JA","butcher"
"Elite Hair Lounge","lewisham@elitehairlounge.co.uk","+44 20 7018 5655","http://elitehairlounge.co.uk/","288 Lee High Road","London","UK","SE13 5PJ","hairdresser"
"Lathaniel's Couture","pa@lathanielscouture.co.uk","+44 20 3601 0683","https://lathanielscouture.co.uk/","196 Coldharbour Lane","London","UK","SE5 9QH","hairdresser"
"Good Looks","appointments@goodlooksbeauty.co.uk","+44 20 8852 0651; +44 20 8318 0648","https://www.goodlooksbeauty.co.uk/","22","London","UK","SE3 9SY","beauty"
"Alpha Shadows","info@alphashadows.com","+44 20 7635 3718","https://www.alphashadows.com","133 Rye Lane","London","UK","SE15 4ST","clothes"
"Bunch London","studio@bunchlondon.com","","https://www.bunchlondon.com/","133 Copeland Road","London","UK","SE15 3SN","florist"
"Diana & George","info@diana-george.co.uk","+44 20 7978 6777","https://www.diana-george.co.uk/","250 Battersea Park Road","London","UK","SW11 3BP","pet"
"Hobbs Pharmacy","purley@hobbspharmacy.co.uk","+44 20 8668 7322","","856 Brighton Road","Purley","UK","CR8 2YL","pharmacy"
"Queen B Luxury Nail and Beauty Lounge","nails@queenb.london","+44 20 3441 7172","https://queenb.london","290-292 Brighton Road","South Croydon","UK","CR2 6AG","beauty"
"Wearabouts","info@wearaboutsschoolwear.co.uk","+44 20 8659 9917","https://wearaboutsschoolwear.co.uk/","99 Sydenham Road","London","UK","SE26 5UA","clothes"
"House Of Carpets & Curtains Ltd","info@houseofcarpetsandcurtains.co.uk","+44 20 8778 8534; +44 20 8776 8456","https://houseofcarpetsandcurtains.co.uk/","57 Sydenham Road","London","UK","SE26 5EX","carpet"
"Billings","sales@shopbillings.co.uk","+44 20 8659 2781","http://www.shopbillings.co.uk/","45 Sydenham Road","London","UK","SE26 5EX","butcher"
"Touchwood Pharmacy","sydenhamroad@touchwoodpharmacy.com","+442086596747","https://www.touchwoodpharmacy.com/","62 Sydenham Road","London","UK","SE26 5QE","pharmacy"
"PCFixup","info@pcfixup.co.uk","+44 1923 282928","https://www.pcfixup.co.uk/","1A Shire Lane","Rickmansworth","UK","WD3 5NQ","computer"
"Andrew Fleming","info@andrewflemingflorist.co.uk","+44 1923 283924","https://www.andrewflemingflorist.net","1 Shire Lane","Rickmansworth","UK","WD3 5NQ","florist"
"Mama Nasha","info@mamanasha.co.uk","","https://mamanasha.co.uk","16-18 Creek Road","London","UK","SE8 3BN","convenience"
"Butcher Curnow","info@butchercurnow.com","+44 20 8318 1732","https://www.butchercurnow.com/","19 Tranquil Vale","London","UK","SE3 0BU","optician"
"Donlon Books","mail@donlonbooks.com","+44 20 7684 5698","https://donlonbooks.com","75 Broadway Market","London","UK","E8 4PH","books"
"Cosmessex","cosmessex115@icloud.com","+44 1277 410322","https://www.cosmessex.co.uk/","115 High Street","Brentwood","UK","CM14 4RX","beauty"
"Sevenoaks Sound and Vision","epsom@ssav.com","+44 1372 720720","https://sevenoakssoundandvision.co.uk","12 Upper High Street","Epsom","UK","KT17 4QJ","electronics"
"David Law – Your Personal Jeweller","david@davidlawjeweller.com","+44 800 024 8940","https://www.davidlawjeweller.com/","91 Wimpole Street","London","UK","W1G 0EF","jewelry"
"PureGlow Nails","support@pureglow.info","+44 2083 742 819","https://pureglow.info/","17 Tottenham Lane","London","UK","N8 9DE","beauty"
"David Mellor","mbn@davidmellordesign.co.uk","+44 20 8050 4259","https://www.davidmellordesign.com/","14 New Cavendish Street","London","UK","W1G 8UW","houseware"
"Lush","lakeside@lush.co.uk","+44 1708 861660","https://www.lush.com/uk/en/","West Thurrock Way","Grays","UK","RM20 2ZP","cosmetics"
"Cromford Leather Co.","info@cromfordleather.co.uk","+44 20 7935 1041","https://www.cromfordleather.co.uk/","56 Chiltern Street","London","UK","W1U 7QY","tailor"
"Sabah","london@sabah.am","+44 20 7486 4691","https://uk.sabah.am/pages/stores","50 Chiltern Street","London","UK","W1U 7QT","shoes"
"John Simons","enquiries@johnsimons.co.uk","+44 20 3490 2729","https://www.johnsimons.co.uk/","46 Chiltern Street","London","UK","W1U 7QR","clothes"
"grandirosa","info@grandirosa.com","+44 20 7935 5700","https://www.grandirosa.com/","36 Chiltern Street","London","UK","W1U 7QL","florist"
"Monocle","londonshop@monocle.com","+44 20 7486 8770","https://monocle.com/shop/","34 Chiltern Street","London","UK","W1U 7QH","general"
"Crispins Shoes","info@crispinsshoes.com","+44 20 7486 8924","https://www.crispinsshoes.com/","28-30 Chiltern Street","London","UK","W1U 7QG","shoes"
"Kimai","chiltern.store@kimai.com","","https://kimai.com/uk/london-store/?country=uk","24 Chiltern Street","London","UK","W1U 7QE","jewelry"
"New & Lingwood","mphillips@newandlingwood.com","+44 20 7486 9495","https://newandlingwood.com/pages/chiltern-street","14 Chiltern Street","London","UK","W1U 7PY","clothes"
"Cox & Power","marylebone@coxandpower.com","+44 20 7935 3530","https://coxandpower.com","10-12 Chiltern Street","London","UK","W1U 7PX","jewelry"
"Casely-Hayford","customercare@casely-hayford.com","+44 20 7486 8881","https://casely-hayford.com/","3 Chiltern Street","London","UK","","tailor"
"Velasca","bottega.london@velasca.com","+44 1202 037170","https://uk.velasca.com/pages/bottega-london","5 Chiltern Street","London","UK","W1U 7PD","shoes"
