EMAIL,FIRSTNAME,LASTNAME,WEBSITE
abc@mail.com,Rituals,Rituals,https://www.rituals.com/en-gb/store-detail?store=London-Enfield
aberdeendl@saks-salons.co.uk,Saks,Hair & Beauty,https://www.saks.co.uk/salons/addlestone/
abuse@company.site,Obsessions,of Weybridge,https://www.obsessionsofweybridge.com/
ac.moore@btinternet.com,Saks,Hair & Beauty,https://www.saks.co.uk/salons/addlestone/
accounts@betonbrut.co.uk,Beton,Brut,https://betonbrut.co.uk/
accounts@boroughkitchen.com,Borough,Kitchen,https://www.boroughkitchen.com/
accounts@edwardjameslondon.com,Edward,James,https://www.edwardjameslondon.com/
accounts@herbal-inn.com,Herbal,Inn,https://herbal-inn-bluewater.mytreatwell.co.uk/
accounts@shumailas.com,Shumailas,Shumailas,https://www.shumailas.com
accounts@thegingerpig.co.uk,The,Ginger Pig,https://thegingerpig.co.uk/blogs/locations/clapham/
accounts@tlc-direct.co.uk,TLC,Electrical Distributors,https://www.tlc-direct.co.uk/
acton@atariyaretail.co.uk,Atari-Ya,Atari-Ya,https://atariya.co.uk/shops/finchley-shop
acton@eye-emporium.com,Eye,Emporium,https://www.eye-emporium.com/pages/eye-emporium-acton
acuspa@acuspapasadena.com,AcuSpa,Pasadena,
adam.bloodworth@cityam.com,City,AM,https://cityam.com/
adarshi@targetgrange.co.uk,Adarshi,Pharmacy,
addlestone@leightons.co.uk,Leightons,Opticians,https://www.leightons.co.uk/branches/addlestone
addlestone@saks-salons.co.uk,Saks,Hair & Beauty,https://www.saks.co.uk/salons/addlestone/
address@somemail.com,Blackbird,Blackbird,https://blackbirdboutique.co.uk/
adewunmi.oluwo@three.co.uk,Three.,Three.,https://locator.three.co.uk/london/wood-green/unit-3-the-mall-88-high-road
admin@beauty-school.co.uk,Salon,& Spa,https://beauty-school.co.uk/school-salon-spa
admin@breadahead.com,Bread,Ahead,https://www.breadahead.com/
admin@falconbrook.wandsworth.sch.uk,School,Uniforms Direct,https://www.schooluniformdirect.co.uk
admin@franciscan.wandsworth.sch.uk,School,Uniforms Direct,https://www.schooluniformdirect.co.uk
admin@fulhamprimaryschool.org.uk,School,Uniforms Direct,https://www.schooluniformdirect.co.uk
admin@hillbrook.wandsworth.sch.uk,School,Uniforms Direct,https://www.schooluniformdirect.co.uk
admin@holytrinity.lambeth.sch.uk,School,Uniforms Direct,https://www.schooluniformdirect.co.uk
admin@keevil.wilts.sch.uk,School,Uniforms Direct,https://www.schooluniformdirect.co.uk
admin@lairdhatters.com,Laird,Hatters,https://lairdlondon.co.uk
admin@lambeth-academy.org,School,Uniforms Direct,https://www.schooluniformdirect.co.uk
admin@langfordprimary.org.uk,School,Uniforms Direct,https://www.schooluniformdirect.co.uk
admin@manorcroft.surrey.sch.uk,School,Uniforms Direct,https://www.schooluniformdirect.co.uk
admin@park-cs.org,School,Uniforms Direct,https://www.schooluniformdirect.co.uk
admin@phoenixacademy.org.uk,School,Uniforms Direct,https://www.schooluniformdirect.co.uk
admin@rhf.org.ng,De-Lady,Salon,https://www.de-lady.co.uk/
admin@spa-terminus.co.uk,Spa,Terminus Greengrocer,https://spa-terminus.co.uk/producer/greengrocer
admin@toadbakery.com,Toad,Bakery,https://www.toadbakery.com
admin@wearaboutsonline.com,Wear,Abouts,https://wearaboutsonline.com/
admin1@grantonprimary.org.uk,School,Uniforms Direct,https://www.schooluniformdirect.co.uk
adminteam@lns.org.uk,School,Uniforms Direct,https://www.schooluniformdirect.co.uk
admission@beauty-school.co.uk,Salon,& Spa,https://beauty-school.co.uk/school-salon-spa
adops@cityam.com,City,AM,https://cityam.com/
advertising@cityam.com,City,AM,https://cityam.com/
advertising@monocle.com,Kioskafé,Kioskafé,http://kioskafe.com/
advice@nealsyardremedies.com,Neal's,Yard Remedies,https://www.nealsyardremedies.com/a/stores/locations/islington-store
aftercare@roundhousedesign.com,Roundhouse,Roundhouse,https://roundhousedesign.com/
aftersales@beards.co.uk,Beards,Beards,https://www.beards.co.uk/
agpriceflorist@aol.com,A.G.,Price,https://www.agpriceflowers.co.uk
ahspittle@aol.com,A.H.,Spittle,https://www.ahspittleelectrical.co.uk/
akf@monocle.com,Kioskafé,Kioskafé,http://kioskafe.com/
akshay@dealroseltd.co.uk,Londis,Londis,
ales@sarrattofficesupplies.co.uk,Sarratt,Office Supplies,http://www.sarrattofficesupplies.co.uk/
alessandro.gatti@fedelicashmere.com,Fedeli,Fedeli,https://www.fedelicashmere.com/
alessandro.geri@fedelicashmere.com,Fedeli,Fedeli,https://www.fedelicashmere.com/
alessandro.tripodi@fedelicashmere.com,Fedeli,Fedeli,https://www.fedelicashmere.com/
alex@lm-communications.com,Oliver,Spencer,https://oliverspencer.co.uk/
alex@mariagrachvogel.com,Maria,Grachvogel,https://www.mariagrachvogel.com/pages/
ali.lyon@cityam.com,City,AM,https://cityam.com/
ali@ta3minilebanesebakery.com,Ta'Mini,Lebanese Bakery,https://www.taminilebanesebakery.com/
alisha.fxy41@nhs.net,Alisha,Pharmacy,https://www.alishapharmacy.co.uk
almadinafurnitures@hotmail.co.uk,Al,Manzil Furniture,https://www.almanzilfurniture.co.uk/
alys.denby@cityam.com,City,AM,https://cityam.com/
amc@monocle.com,Kioskafé,Kioskafé,http://kioskafe.com/
amelia@shopdogn8.co.uk,Shop,Dog N8,http://www.shopdogn8.co.uk/
ams@amsopticians.co.uk,AMS,Eyecare,https://www.ams-opticians.co.uk/
andrea.currah@hotmail.co.uk,Saks,Hair & Beauty,https://www.saks.co.uk/salons/addlestone/
andrew@christieshair.co.uk,Saks,Hair & Beauty,https://www.saks.co.uk/salons/addlestone/
andy@woodfordcyclecentre.co.uk,Woodford,Cycle Centre,https://woodfordcyclecentre.co.uk/
anejad@talktalk.net,Aaron,Nejad,https://www.aaronnejad.com/
angeli@angelimedispa.com,Angeli,Medispa,https://www.angelimedispa.com/
anna.moloney@cityam.com,City,AM,https://cityam.com/
anneka@a-frameagency.com,Larry,King,https://www.larryking.co.uk/
antoniatimpany@hotmail.co.uk,Sign,of the Times,https://www.wearesott.com/
anyalife@anyahindmarch.com,Anya,Hindmarch,https://www.anyahindmarch.com/en-GB/stores?sid=pont
ao@monocle.com,Kioskafé,Kioskafé,http://kioskafe.com/
apply@apc.fr,A.P.C.,A.P.C.,https://www.apcstore.co.uk/
appointments@goodlooksbeauty.co.uk,Good,Looks,https://www.goodlooksbeauty.co.uk/
appointments@lindameredith.com,Linda,Meredith Beauty Skincare,https://lindameredith.com/
appointmentsmarylebone@toa.st,TOAST,TOAST,https://www.toa.st/uk/shops/marylebone.htm
apriati@apriati.com,Apriati,Apriati,https://www.apriati.com/en
archie@leaandsandeman.co.uk,Lea,& Sandeman,https://www.leaandsandeman.co.uk/content/kensington.html
arianna.tosetto@jessicamccormack.com,Jessica,McCormack,https://www.jessicamccormack.com/
arndale@so-mini.co.uk,Miniso,Miniso,https://minisoshop.co.uk/store-locator/store/view/key/10
arnotts@boconcept.ie,BoConcept,BoConcept,https://www.boconcept.com/en-gb/stores/find-your-local-store/united-kingdom/london/boconcept-notting-hill
arrow@wearearrow.com,We,Are Arrow,https://wearearrow.com/
as@monocle.com,Kioskafé,Kioskafé,http://kioskafe.com/
ashton@sakshair.co.uk,Saks,Hair & Beauty,https://www.saks.co.uk/salons/addlestone/
ask@allsaints.com,AllSaints,AllSaints,https://www.allsaints.com/
askmewholesale@cutlerandgross.com,Cuttler,& Gross,https://www.cutlerandgross.com/
assmann@assmann.de,Assmann,Assmann,http://assmann.co.uk/
asudur.rahman@cityyam.com,City,AM,https://cityam.com/
atobconcierge@orlebarbrown.com,Orlebar,Brown,https://www.orlebarbrown.com/
aubagne@veloris.com,Ecobat,Battery,https://www.ecobatbattery.com/
aude@couverture.co.uk,Couverture,& The Garbstore,https://www.couvertureandthegarbstore.com/
aveofamericas.shop@ctshirts.co.uk,Charles,Tyrwhitt,https://www.charlestyrwhitt.com/uk/stores?StoreID=london-victoria
axios@1.1.2.min.js,Hayley,Menzies,https://hayleymenzies.com/
aya@betonbrut.co.uk,Beton,Brut,https://betonbrut.co.uk/
b.west@birleybakery.com,Birley,Bakery,https://birleybakery.com
back-in-stock@notifyboost.net,Beyond,Retro,https://www.beyondretro.com/pages/store-locator-soho
bakerstreet@robertdyas.co.uk,Robert,Dyas,https://www.robertdyas.co.uk/storefinder/robertdyas-baker-street/
bakewell@the-eye-place.co.uk,Schuller,Opticians,http://schulleropticians.com/
balham@edwardjameslondon.com,Edward,James,https://www.edwardjameslondon.com/
bamfordspa.bromptoncross@bamford.co.uk,Bamford,Haybarn,https://www.bamford.com/uk/pages/london-brompton-cross
bamfordspa.cotswolds@bamford.co.uk,Bamford,Haybarn,https://www.bamford.com/uk/pages/london-brompton-cross
bankside@gailsbread.co.uk,GAIL's,GAIL's,https://gails.com/pages/neo-bankside
barkingside@charliessweets.co.uk,Charlie's,Sweet Emporium,www.charliessweets.co.uk
barnardcastle@sakshair.co.uk,Saks,Hair & Beauty,https://www.saks.co.uk/salons/addlestone/
barnet@1to1flooring.co.uk,1to1,Flooring,https://1to1flooring.co.uk
barrie.hardy@btinternet.com,Saks,Hair & Beauty,https://www.saks.co.uk/salons/addlestone/
basingstoke@mini-blu.com,Miniso,Miniso,https://minisoshop.co.uk/store-locator/store/view/key/10
bath.shop@ctshirts.co.uk,Charles,Tyrwhitt,https://www.charlestyrwhitt.com/uk/stores?StoreID=london-victoria
bath@cutlerandgross.com,Cuttler,& Gross,https://www.cutlerandgross.com/
battersea-reach@boconcept.co.uk,BoConcept,BoConcept,https://www.boconcept.com/en-gb/stores/find-your-local-store/united-kingdom/london/boconcept-notting-hill
battersea.store@sallybeauty.com,Sally,Beauty,https://www.sallybeauty.co.uk/storeinfo?StoreID=4388
battersea@apple.com,Apple,Store,https://www.apple.com/uk/retail/battersea/
battersea@bluetitlondon.com,Blue,Tit,http://bluetitlondon.com/
battersea@eighty-8.co.uk,Eighty-8,Eighty-8,https://www.eighty-8.co.uk/
battersea@kouriten.com,Miniso,Miniso,https://minisoshop.co.uk/store-locator/store/view/key/10
battersea@meandem.com,Me+Em,Me+Em,https://www.meandem.com/stores
bayfieldsmedia@creativerace.co.uk,Bayfields,Bayfields,https://www.bayfieldsopticians.com/practices/egham
bdbs@bdb.surrey.sch.uk,School,Uniforms Direct,https://www.schooluniformdirect.co.uk
beakst@officinegenerale.com,Officine,Générale,https://www.officinegenerale.com/en/pages/boutique-beak-st-soho-london
beatrice.canzian@fedelicashmere.com,Fedeli,Fedeli,https://www.fedelicashmere.com/
beautyacademy@southessex.ac.uk,Visage,Visage,https://www.southessex.ac.uk/about-us/facilities-services/visage-hair-salons
beccles@observatory.co.uk,Observatory,Observatory,https://observatory.co.uk/london-muswell-hill-opticians
becky@beckyknowles.com,Larry,King,https://www.larryking.co.uk/
belgravia@drdavidjack.com,Dr,David Jack,https://drdavidjack.com/pages/the-city-clinic
belgravia@myforeverrose.com,Forever,Rose London,https://www.myforeverrose.com/uk/
bella@bellasgonehome.com,Bella’s,Gone Home,https://www.bellasgonehome.com/
belsizepark@the-eye-place.co.uk,Schuller,Opticians,http://schulleropticians.com/
bergpharmacy@nhs.net,Berg's,Pharmacy,
berkhamsted@1to1flooring.co.uk,1to1,Flooring,https://1to1flooring.co.uk
bermondsey@estellabartlett.com,Estella,Bartlett,https://estellabartlett.com
bespoke@anyahindmarch.com,Anya,Hindmarch,https://www.anyahindmarch.com/en-GB/stores?sid=pont
bespoke@ebmeyrowitz.co.uk,E.B.,Meyrowitz,https://www.ebmeyrowitz.co.uk/
bespoke@zaeemjamal.com,Zaeem,Jamal,http://www.zaeemjamal.com/
bethanywillan@naughtone.com,Naughtone,Naughtone,https://www.naughtone.com/
beverlydrive.la@meandem.com,Me+Em,Me+Em,https://www.meandem.com/stores
bexleyheath@linklaterwarren.co.uk,Linklater,& Warren,https://linklaterwarren.co.uk/
bicestervillage.shop@ctshirts.co.uk,Charles,Tyrwhitt,https://www.charlestyrwhitt.com/uk/stores?StoreID=london-victoria
bicestervillage@acnestudios.com,Acne,Studios,https://www.acnestudios.com/emea/en/stores/pelham-street
bikes@omabikes.co.uk,OMA,Bikes,https://linktr.ee/omabikes
billi@minihomenursery.co.uk,London,Recumbents,http://www.londonrecumbents.com/
birmingham.shop@ctshirts.co.uk,Charles,Tyrwhitt,https://www.charlestyrwhitt.com/uk/stores?StoreID=london-victoria
birmingham@boconcept.co.uk,BoConcept,BoConcept,https://www.boconcept.com/en-gb/stores/find-your-local-store/united-kingdom/london/boconcept-notting-hill
birmingham@onyourbike.com,On,Your Bike,https://www.onyourbike.com/
bishopauckland@saks-salons.co.uk,Saks,Hair & Beauty,https://www.saks.co.uk/salons/addlestone/
bishopgate@rymanservices.co.uk,Ryman,Design,
blackheath.store.uk@lecreuset.com,Le,Creuset,https://www.lecreuset.co.uk/en_GB/stores.html#!/l/blackheath/21-montpelier-vale/5161274
blackheath@bluetitlondon.com,Blue,Tit,https://bluetitlondon.com/salons/blackheath/
blackheath@coton-hamblin.com,Coton,& Hamblin,https://www.coton-hamblin.com/
blackheath@petscorner.co.uk,Pets,Corner,https://www.petscorner.co.uk/stores/pets-corner-stores-blackheath/
blackheath@selectric.co.uk,Selectric,Selectric,https://www.selectric.co.uk/
blackheathflowerco@live.co.uk,Blackheath,Flower Co.,https://www.blackheathflowerco.co.uk/
blacksheepcoffee@frmclients.com,Black,Sheep Coffee,https://blacksheepcoffee.co.uk/blogs/locations/ealing
blomfieldstreet.shop@ctshirts.co.uk,Charles,Tyrwhitt,https://www.charlestyrwhitt.com/uk/stores?StoreID=london-victoria
bluemangocrew@me.com,Blue,Mango Salon,https://www.bluemangosalon.com/
bluetit@wearefullfat.com,Blue,Tit,http://bluetitlondon.com/
bluewater.branch@beaverbrooks.co.uk,Beaverbrooks,Beaverbrooks,https://www.beaverbrooks.co.uk/stores/bluewater
bluewater.shop@ctshirts.co.uk,Charles,Tyrwhitt,https://www.charlestyrwhitt.com/uk/stores?StoreID=london-victoria
bluewater@aesop.com,Aesop,Aesop,https://shop.aesop.com/fr/en/
bluewater@brownsjewellers.com,Browns,Browns,https://brownsjewellers.com/en-gb/
bluewater@egoitalianostore.com,Egoitaliano,Egoitaliano,https://www.egoitaliano.com/
bluewater@fraserhart.co.uk,Fraser,Hart,https://www.fraserhart.co.uk/
bluewater@gs-retail.co.uk,Miniso,Miniso,https://minisoshop.co.uk/store-locator/store/view/key/10
bluewater@lush.co.uk,Lush,Lush,https://www.lush.com/uk/en
bluewater@menkindstores.co.uk,Menkind,Menkind,https://www.menkind.co.uk/
bluewater@procook.co.uk,ProCook,ProCook,https://www.procook.co.uk/
bluewater@rigbyandpeller.com,Rigby,& Peller,https://www.rigbyandpeller.com/en-gb/
bluewater@thomassabo.com,Thomas,Sabo,https://www.thomassabo.com/GB/en_GB/home
bobbie.martin1@btinternet.com,Earlsfield,Hair,https://www.earlsfieldhair.com/
bodelwyddan@veloris.com,Ecobat,Battery,https://www.ecobatbattery.com/
boltondl@saks-salons.co.uk,Saks,Hair & Beauty,https://www.saks.co.uk/salons/addlestone/
bondprimary@bond.merton.sch.uk,School,Uniforms Direct,https://www.schooluniformdirect.co.uk
book@bluemangosalon.com,Blue,Mango Salon,https://www.bluemangosalon.com/
book@drakesoflondon.com,Kings,of London,https://www.kingsoflondon.london/
booking@gettyspace.co.uk,Getty,Space,https://www.gettyspace.co.uk
booking@thechelseaspa.co.uk,The,Chelsea Spa,https://thechelseaspa.co.uk/
bookings@browbaselondon.co.uk,Brow,Base,https://www.browbaselondon.co.uk/
bookings@experimentalperfumeclub.com,Experimental,Perfume Club,https://experimentalperfumeclub.com/
bookings@georgevallossian.com,George,Vallossian,https://www.georgevallossian.com/
bookings@hairworksandbeauty.com,Hair,Works,http://hairworksandbeauty.com/
bookings@iluvo.co.uk,iLuvo,Beauty,https://www.iluvo.co.uk/
bookings@larrykinghair.com,Larry,King,https://www.larryking.co.uk/
bookings@myfairladyegham.co.uk,My,Fair Lady,
bookings@neptune.com,Neptune,Neptune,https://www.neptune.com/your-order/find-a-store/neptune-wimbledon/
bookings@peppermintmassage.com,Peppermint,Peppermint,https://www.peppermintmassage.com/
bookings@saltborough.com,Salt,Salon,http://saltsalonlondon.com
bookings@top-paws.co.uk,Top,Paws,https://www.top-paws.co.uk/
bookingsaspinaloflondonregentstreet@aspinaloflondon.com,Aspinal,of London,https://www.aspinaloflondon.com/
books@backstory.london,Backstory,Backstory,https://backstory.london/
books@bookmongers.com,Bookmongers,Bookmongers,http://bookmongers.com
books@sotherans.co.uk,Sotheran's,Sotheran's,https://www.sotherans.co.uk/
bookshop@polskamaicerz.org,Polish,Educational Society Bookshop,https://polskamacierz.org/
borehamwood@cardsdirect.co.uk,Cards,Direct,https://www.cardsdirect.co.uk/borehamwood
borehamwood@eggfreecake.co.uk,Eggfree,Cake Box,https://www.cakebox.com/storelocator/borehamwood/
borough@wyndhams.shop,Wyndhams,Wyndhams,https://wyndham-house.com/
boss_bluewater@hugoboss.com,Hugo,Boss,https://www.hugoboss.com/uk/
boss_lakeside_thurrock@hugoboss.com,Hugo,Boss,https://www.hugoboss.com/uk/
bottega.london@velasca.com,Velasca,Velasca,https://uk.velasca.com/pages/bottega-london
bow@eye-emporium.com,Eye,Emporium,https://www.eye-emporium.com/pages/eye-emporium-acton
bracknell.shop@ctshirts.co.uk,Charles,Tyrwhitt,https://www.charlestyrwhitt.com/uk/stores?StoreID=london-victoria
braehead@kouriten.com,Miniso,Miniso,https://minisoshop.co.uk/store-locator/store/view/key/10
braintree@cyclesuk.com,Cycles,UK,https://www.cyclesuk.com/
branch0735@jewson.co.uk,Jewson,Jewson,https://www.jewson.co.uk/branch-finder/penge-limes-avenue-branch/
branch3294@jewson.co.uk,Jewson,Jewson,https://www.jewson.co.uk/branch-finder/kentish-town-branch/
branch8@chisholmhunter.co.uk,Chisholm,Hunter,https://www.chisholmhunter.co.uk/
brands@ondabeauty.com,Onda,Beauty,https://www.ondabeauty.com/
brent-cross@boconcept.co.uk,BoConcept,BoConcept,https://www.boconcept.com/en-gb/stores/find-your-local-store/united-kingdom/london/boconcept-notting-hill
brentcross.shop@ctshirts.co.uk,Charles,Tyrwhitt,https://www.charlestyrwhitt.com/uk/stores?StoreID=london-victoria
brentcross@apple.com,Apple,Store,https://www.apple.com/uk/retail/brentcross/
brentcross@kouriten.com,Miniso,Miniso,https://minisoshop.co.uk/store-locator/store/view/key/10
brentcross@tapi.co.uk,Tapi,Carpets,https://www.tapi.co.uk/stores/brent-cross
brenton@harbourcycles.co.uk,Harbour,Cycles,https://www.harbourcycles.co.uk/
brentwood@stellisonltd.co.uk,Stellisons,Euronics,https://www.stellisonselectrical.co.uk/store-3
bridal@rixo.co.uk,Rixo,Rixo,https://rixo.co.uk/
brighton@eyesite.co.uk,Eyesite,Eyesite,http://www.eyesite.co.uk/weybridge
brighton@kouriten.com,Miniso,Miniso,https://minisoshop.co.uk/store-locator/store/view/key/10
bristol@boconcept.co.uk,BoConcept,BoConcept,https://www.boconcept.com/en-gb/stores/find-your-local-store/united-kingdom/london/boconcept-notting-hill
bristol@klrpgroup.com,Miniso,Miniso,https://minisoshop.co.uk/store-locator/store/view/key/10
bristol@veloris.com,Ecobat,Battery,https://www.ecobatbattery.com/
brixton@bluetitlondon.com,Blue,Tit,http://bluetitlondon.com/
broadway@sharpesbarbers.com,Sharpes,Sharpes,https://www.sharpesbarbers.com/
broadwaymarket@cubitts.com,Cubitts,Cubitts,
brockley@bluetitlondon.com,Blue,Tit,http://bluetitlondon.com/
bromley.store@sallybeauty.com,Sally,Hair & Beauty,https://www.sallybeauty.co.uk/storeinfo?StoreID=4038
bromley@apple.com,Apple,Store,https://www.apple.com/uk/retail/bromley/
bromley@fraserhart.co.uk,Fraser,Hart,https://www.fraserhart.co.uk/bromley.html
bromley@gs-retail.co.uk,Miniso,Miniso,https://minisoshop.co.uk/store-locator/store/view/key/10
bromleybranch@benchmarxjoinery.co.uk,Benchmarx,Benchmarx,https://www.benchmarxkitchens.co.uk/branches/bromley
bromptoncarpets@yahoo.co.uk,Brompton,Carpets,https://www.bromptoncarpets.co.uk/
bromptoncross@bamford.co.uk,Bamford,Haybarn,https://www.bamford.com/uk/pages/london-brompton-cross
bromptonroad@apple.com,Apple,Store,https://www.apple.com/uk/retail/bromptonroad/
brooke@zoeandmorgan.com,Zoe,and Morgan,https://zoeandmorgan.com/
brookstreet@meandem.com,Me+Em,Me+Em,https://www.meandem.com/stores
brunswick@sanrizz.co.uk,Sanrizz,Sanrizz,https://sanrizz.co.uk/
buckhead.atlanta@meandem.com,Me+Em,Me+Em,https://www.meandem.com/stores
build-vendors@layout.theme.css,Turnbull,& Asser,https://www.turnbullandasser.com/
build-vendors@layout.theme.js,Turnbull,& Asser,https://www.turnbullandasser.com/
burn@diverseclothing.com,Diverse,clothing,https://diverseclothing.com/
butcheryclasses@thegingerpig.co.uk,The,Ginger Pig,https://thegingerpig.co.uk/blogs/locations/clapham/
buzz@beadoirme.co.uk,Beadoir,Beadoir,https://www.beadoirme.co.uk/
bv@blackheathvintners.co.uk,Blackheath,Vintners,https://www.blackheathvintners.co.uk/
cafe@anyahindmarch.com,Anya,Hindmarch,https://www.anyahindmarch.com/en-GB/stores?sid=pont
cakes@wilton-uk.com,Wilton,Patisserie,https://www.wilton-patisserie.co.uk
cambridge.shop@ctshirts.co.uk,Charles,Tyrwhitt,https://www.charlestyrwhitt.com/uk/stores?StoreID=london-victoria
cambridge@kouriten.com,Miniso,Miniso,https://minisoshop.co.uk/store-locator/store/view/key/10
cambridge@roundhousedesign.com,Roundhouse,Roundhouse,https://roundhousedesign.com/
camden@cyberdog.net,Cyberdog,Cyberdog,https://www.cyberdog.net
camden@kouriten.com,Miniso,Miniso,https://minisoshop.co.uk/store-locator/store/view/key/10
camillac@lm-communications.com,Oliver,Spencer,https://oliverspencer.co.uk/
canarywharf.shop@ctshirts.co.uk,Charles,Tyrwhitt,https://www.charlestyrwhitt.com/uk/stores?StoreID=london-victoria
canarywharf@nipnip.co.uk,NipNip,NipNip,https://www.nipnip.co.uk/
canarywharf@robertdyas.co.uk,Robert,Dyas,https://www.robertdyas.co.uk/storefinder/robertdyas-canary-wharf
canarywharf@tdtomdavies.com,Tom,Davies,https://www.tdtomdavies.com/
cannonst@dermareviveskinclinic.co.uk,London,Premier Laser & Scin,https://londonpremierlaser.co.uk/
canterbury@boconcept.co.uk,BoConcept,BoConcept,https://www.boconcept.com/en-gb/stores/find-your-local-store/united-kingdom/london/boconcept-notting-hill
canterbury@cyclesuk.com,Cycles,UK,https://www.cyclesuk.com/
cardiff@boconcept.co.uk,BoConcept,BoConcept,https://www.boconcept.com/en-gb/stores/find-your-local-store/united-kingdom/london/boconcept-notting-hill
cardiff@kouriten.com,Miniso,Miniso,https://minisoshop.co.uk/store-locator/store/view/key/10
care@casachildrenswear.com,Casa,Childrenswear,https://casachildrenswear.com/
care@finlayandco.com,Finlay,- Notting Hill,https://www.finlayandco.com/
care@godfreys.co,Godfrey's,Godfrey's,http://www.godfreys.co
care@goodwilluk.com,GoodWill,Pharmacy,https://www.goodwilluk.com/
care@redmount.com,Redmount,Hardware Store,https://redmountltd.com/
care@yaccomaricard.com,Yacco,Marinard,https://www.yaccomaricard.london/
care@yaccomaricard.london,Yacco,Marinard,https://www.yaccomaricard.london/
careers@apm.mc,APM,Monaco,https://www.apm.mc/
careers@betonbrut.co.uk,Beton,Brut,https://betonbrut.co.uk/
careers@edwardjameslondon.com,Edward,James,https://www.edwardjameslondon.com/
careers@headmasters.com,Headmasters,Headmasters,https://www.headmasters.com/salons/staines/
careers@nyumbasalon.com,Michael,Charalambous,http://nyumbasalon.com/
careers@perfumerh.com,Perfumer,H,https://www.perfumerh.com
careers@thecavanbakery.co.uk,Cavan,Bakery,https://thecavanbakery.co.uk/
carla@naughtone.com,Naughtone,Naughtone,https://www.naughtone.com/
carpetstoresb@aol.com,The,Carpetstore,https://www.thecarpetstore.info/
cassartcare@cassart.co.uk,Cass,Art,https://www.cassart.co.uk/stores/kingston/
castlecourt@minisoni.com,Miniso,Miniso,https://minisoshop.co.uk/store-locator/store/view/key/10
castlehill@delmergate.com,Delmergate,Pharmacy,https://delmergate.com/delmergate-pharmacy-castle-hill-local-centre
caterham@rawlingsopticians.co.uk,Rawlings,Opticians,https://www.rawlingsopticians.co.uk/caterham-optician.php
catford@tapi.co.uk,Tapi,Carpets,https://www.tapi.co.uk/stores/catford
catwalk@catherinewalker.com,Catherine,Walker & Co,https://www.catherinewalker.com/
ccare@cc.albertaferretti.com,Alberta,Ferretti,https://www.albertaferretti.com/
ccare@cc.moschino.com,Moschino,Moschino,http://www.moschino.it
ccenquiries@magnet.co.uk,Magnet,Magnet,https://www.magnet.co.uk/find-a-showroom/london/enfield/
cfonline@cardfactory.co.uk,Card,Factory,https://www.cardfactory.co.uk/
chambersjch@monocle.com,Kioskafé,Kioskafé,http://kioskafe.com/
chancery@loake.co.uk,Loake,Shoemakers,
charingcrossroadenquiries@foyles.co.uk,Foyles,Foyles,https://www.foyles.co.uk/shops/london-charing-cross-road
charlee@zoeandmorgan.com,Zoe,and Morgan,https://zoeandmorgan.com/
charlotta@fabrique.se,Fabrique,Bakery,http://fabrique.co.uk/
charlton@nctilesandbathrooms.com,N&C,Tiles and Bathrooms,https://www.nctilesandbathrooms.com/branch-locator/3/Charlton
charlton@tapi.co.uk,Tapi,Carpets,https://www.tapi.co.uk/stores/charlton
cheadle@saks-salons.co.uk,Saks,Hair & Beauty,https://www.saks.co.uk/salons/addlestone/
cheapside.shop@ctshirts.co.uk,Charles,Tyrwhitt,https://www.charlestyrwhitt.com/uk/stores?StoreID=london-victoria
